Mod:Item:MetaData, Localized Name
Forestry:slabs:10, Mahogany Wood Slab
Forestry:slabs:11, Balsa Wood Slab
Forestry:slabs:12, Willow Wood Slab
Forestry:slabs:13, Walnut Wood Slab
Forestry:slabs:14, Greenheart Wood Slab
Forestry:slabs:15, Cherry Wood Slab
Forestry:slabs:16, Mahoe Wood Slab
Forestry:slabs:17, Poplar Wood Slab
Forestry:slabs:18, Palm Wood Slab
Forestry:slabs:19, Papaya Wood Slab
Forestry:slabs:20, Pine Wood Slab
Forestry:slabs:21, Plum Wood Slab
Forestry:slabs:22, Maple Wood Slab
Forestry:slabs:23, Citrus Wood Slab
Forestry:slabs:24, Giant Sequoia Wood Slab
Forestry:slabs:25, Ipe Wood Slab
Forestry:slabs:26, Padauk Wood Slab
Forestry:slabs:27, Cocobolo Wood Slab
Forestry:slabs:28, Zebrawood Wood Slab
Forestry:fences:0, Larch Fence
Forestry:fences:1, Teak Fence
Forestry:fences:2, Desert Acacia Fence
Forestry:fences:3, Lime Fence
Forestry:fences:4, Chestnut Fence
Forestry:fences:5, Wenge Fence
Forestry:fences:6, Baobab Fence
Forestry:fences:7, Sequoia Fence
Forestry:fences:8, Kapok Fence
Forestry:fences:9, Ebony Fence
Forestry:fences:10, Mahogany Fence
Forestry:fences:11, Balsa Fence
Forestry:fences:12, Willow Fence
Forestry:fences:13, Walnut Fence
Forestry:fences:14, Greenheart Fence
Forestry:fences:15, Cherry Fence
Forestry:fences:16, Mahoe Fence
Forestry:fences:17, Poplar Fence
Forestry:fences:18, Palm Fence
Forestry:fences:19, Papaya Fence
Forestry:fences:20, Pine Fence
Forestry:fences:21, Plum Fence
Forestry:fences:22, Maple Fence
Forestry:fences:23, Citrus Fence
Forestry:fences:24, Giant Sequoia Fence
Forestry:fences:25, Ipe Fence
Forestry:fences:26, Padauk Fence
Forestry:fences:27, Cocobolo Fence
Forestry:fences:28, Zebrawood Fence
Forestry:stairs:0, Larch Stairs
Forestry:stairs:1, Teak Stairs
Forestry:stairs:2, Desert Acacia Stairs
Forestry:stairs:3, Lime Stairs
Forestry:stairs:4, Chestnut Stairs
Forestry:stairs:5, Wenge Stairs
Forestry:stairs:6, Baobab Stairs
Forestry:stairs:7, Sequoia Stairs
Forestry:stairs:8, Kapok Stairs
Forestry:stairs:9, Ebony Stairs
Forestry:stairs:10, Mahogany Stairs
Forestry:stairs:11, Balsa Stairs
Forestry:stairs:12, Willow Stairs
Forestry:stairs:13, Walnut Stairs
Forestry:stairs:14, Greenheart Stairs
Forestry:stairs:15, Cherry Stairs
Forestry:stairs:16, Mahoe Stairs
Forestry:stairs:17, Poplar Stairs
Forestry:stairs:18, Palm Stairs
Forestry:stairs:19, Papaya Stairs
Forestry:stairs:20, Pine Stairs
Forestry:stairs:21, Plum Stairs
Forestry:stairs:22, Maple Stairs
Forestry:stairs:23, Citrus Stairs
Forestry:stairs:24, Giant Sequoia Stairs
Forestry:stairs:25, Ipe Stairs
Forestry:stairs:26, Padauk Stairs
Forestry:stairs:27, Cocobolo Stairs
Forestry:stairs:28, Zebrawood Stairs
Forestry:logsFireproof:0, Larch Wood (Fireproof)
Forestry:logsFireproof:1, Teak Wood (Fireproof)
Forestry:logsFireproof:2, Desert Acacia Wood (Fireproof)
Forestry:logsFireproof:3, Lime Wood (Fireproof)
Forestry:logsFireproof:4, Chestnut Wood (Fireproof)
Forestry:logsFireproof:5, Wenge Wood (Fireproof)
Forestry:logsFireproof:6, Baobab Wood (Fireproof)
Forestry:logsFireproof:7, Sequoia Wood (Fireproof)
Forestry:logsFireproof:8, Kapok Wood (Fireproof)
Forestry:logsFireproof:9, Ebony Wood (Fireproof)
Forestry:logsFireproof:10, Mahogany Wood (Fireproof)
Forestry:logsFireproof:11, Balsa Wood (Fireproof)
Forestry:logsFireproof:12, Willow Wood (Fireproof)
Forestry:logsFireproof:13, Walnut Wood (Fireproof)
Forestry:logsFireproof:14, Greenheart Wood (Fireproof)
Forestry:logsFireproof:15, Cherry Wood (Fireproof)
Forestry:logsFireproof:16, Mahoe Wood (Fireproof)
Forestry:logsFireproof:17, Poplar Wood (Fireproof)
Forestry:logsFireproof:18, Palm Wood (Fireproof)
Forestry:logsFireproof:19, Papaya Wood (Fireproof)
Forestry:logsFireproof:20, Pine Wood (Fireproof)
Forestry:logsFireproof:21, Plum Wood (Fireproof)
Forestry:logsFireproof:22, Maple Wood (Fireproof)
Forestry:logsFireproof:23, Citrus Wood (Fireproof)
Forestry:logsFireproof:24, Giant Sequoia Wood (Fireproof)
Forestry:logsFireproof:25, Ipe Wood (Fireproof)
Forestry:logsFireproof:26, Padauk Wood (Fireproof)
Forestry:logsFireproof:27, Cocobolo Wood (Fireproof)
Forestry:logsFireproof:28, Zebrawood Wood (Fireproof)
Forestry:planksFireproof:0, Larch Wood Planks (Fireproof)
Forestry:planksFireproof:1, Teak Wood Planks (Fireproof)
Forestry:planksFireproof:2, Desert Acacia Wood Planks (Fireproof)
Forestry:planksFireproof:3, Lime Wood Planks (Fireproof)
Forestry:planksFireproof:4, Chestnut Wood Planks (Fireproof)
Forestry:planksFireproof:5, Wenge Wood Planks (Fireproof)
Forestry:planksFireproof:6, Baobab Wood Planks (Fireproof)
Forestry:planksFireproof:7, Sequoia Wood Planks (Fireproof)
Forestry:planksFireproof:8, Kapok Wood Planks (Fireproof)
Forestry:planksFireproof:9, Ebony Wood Planks (Fireproof)
Forestry:planksFireproof:10, Mahogany Wood Planks (Fireproof)
Forestry:planksFireproof:11, Balsa Wood Planks (Fireproof)
Forestry:planksFireproof:12, Willow Wood Planks (Fireproof)
Forestry:planksFireproof:13, Walnut Wood Planks (Fireproof)
Forestry:planksFireproof:14, Greenheart Wood Planks (Fireproof)
Forestry:planksFireproof:15, Cherry Wood Planks (Fireproof)
Forestry:planksFireproof:16, Mahoe Wood Planks (Fireproof)
Forestry:planksFireproof:17, Poplar Wood Planks (Fireproof)
Forestry:planksFireproof:18, Palm Wood Planks (Fireproof)
Forestry:planksFireproof:19, Papaya Wood Planks (Fireproof)
Forestry:planksFireproof:20, Pine Wood Planks (Fireproof)
Forestry:planksFireproof:21, Plum Wood Planks (Fireproof)
Forestry:planksFireproof:22, Maple Wood Planks (Fireproof)
Forestry:planksFireproof:23, Citrus Wood Planks (Fireproof)
Forestry:planksFireproof:24, Giant Sequoia Wood Planks (Fireproof)
Forestry:planksFireproof:25, Ipe Wood Planks (Fireproof)
Forestry:planksFireproof:26, Padauk Wood Planks (Fireproof)
Forestry:planksFireproof:27, Cocobolo Wood Planks (Fireproof)
Forestry:planksFireproof:28, Zebrawood Wood Planks (Fireproof)
Forestry:slabsFireproof:0, Larch Wood Slab (Fireproof)
Forestry:slabsFireproof:1, Teak Wood Slab (Fireproof)
Forestry:slabsFireproof:2, Desert Acacia Wood Slab (Fireproof)
Forestry:slabsFireproof:3, Lime Wood Slab (Fireproof)
Forestry:slabsFireproof:4, Chestnut Wood Slab (Fireproof)
Forestry:slabsFireproof:5, Wenge Wood Slab (Fireproof)
Forestry:slabsFireproof:6, Baobab Wood Slab (Fireproof)
Forestry:slabsFireproof:7, Sequoia Wood Slab (Fireproof)
Forestry:slabsFireproof:8, Kapok Wood Slab (Fireproof)
Forestry:slabsFireproof:9, Ebony Wood Slab (Fireproof)
Forestry:slabsFireproof:10, Mahogany Wood Slab (Fireproof)
Forestry:slabsFireproof:11, Balsa Wood Slab (Fireproof)
Forestry:slabsFireproof:12, Willow Wood Slab (Fireproof)
Forestry:slabsFireproof:13, Walnut Wood Slab (Fireproof)
Forestry:slabsFireproof:14, Greenheart Wood Slab (Fireproof)
Forestry:slabsFireproof:15, Cherry Wood Slab (Fireproof)
Forestry:slabsFireproof:16, Mahoe Wood Slab (Fireproof)
Forestry:slabsFireproof:17, Poplar Wood Slab (Fireproof)
Forestry:slabsFireproof:18, Palm Wood Slab (Fireproof)
Forestry:slabsFireproof:19, Papaya Wood Slab (Fireproof)
Forestry:slabsFireproof:20, Pine Wood Slab (Fireproof)
Forestry:slabsFireproof:21, Plum Wood Slab (Fireproof)
Forestry:slabsFireproof:22, Maple Wood Slab (Fireproof)
Forestry:slabsFireproof:23, Citrus Wood Slab (Fireproof)
Forestry:slabsFireproof:24, Giant Sequoia Wood Slab (Fireproof)
Forestry:slabsFireproof:25, Ipe Wood Slab (Fireproof)
Forestry:slabsFireproof:26, Padauk Wood Slab (Fireproof)
Forestry:slabsFireproof:27, Cocobolo Wood Slab (Fireproof)
Forestry:slabsFireproof:28, Zebrawood Wood Slab (Fireproof)
Forestry:fencesFireproof:0, Larch Fence (Fireproof)
Forestry:fencesFireproof:1, Teak Fence (Fireproof)
Forestry:fencesFireproof:2, Desert Acacia Fence (Fireproof)
Forestry:fencesFireproof:3, Lime Fence (Fireproof)
Forestry:fencesFireproof:4, Chestnut Fence (Fireproof)
Forestry:fencesFireproof:5, Wenge Fence (Fireproof)
Forestry:fencesFireproof:6, Baobab Fence (Fireproof)
Forestry:fencesFireproof:7, Sequoia Fence (Fireproof)
Forestry:fencesFireproof:8, Kapok Fence (Fireproof)
Forestry:fencesFireproof:9, Ebony Fence (Fireproof)
Forestry:fencesFireproof:10, Mahogany Fence (Fireproof)
Forestry:fencesFireproof:11, Balsa Fence (Fireproof)
Forestry:fencesFireproof:12, Willow Fence (Fireproof)
Forestry:fencesFireproof:13, Walnut Fence (Fireproof)
Forestry:fencesFireproof:14, Greenheart Fence (Fireproof)
Forestry:fencesFireproof:15, Cherry Fence (Fireproof)
Forestry:fencesFireproof:16, Mahoe Fence (Fireproof)
Forestry:fencesFireproof:17, Poplar Fence (Fireproof)
Forestry:fencesFireproof:18, Palm Fence (Fireproof)
Forestry:fencesFireproof:19, Papaya Fence (Fireproof)
Forestry:fencesFireproof:20, Pine Fence (Fireproof)
Forestry:fencesFireproof:21, Plum Fence (Fireproof)
Forestry:fencesFireproof:22, Maple Fence (Fireproof)
Forestry:fencesFireproof:23, Citrus Fence (Fireproof)
Forestry:fencesFireproof:24, Giant Sequoia Fence (Fireproof)
Forestry:fencesFireproof:25, Ipe Fence (Fireproof)
Forestry:fencesFireproof:26, Padauk Fence (Fireproof)
Forestry:fencesFireproof:27, Cocobolo Fence (Fireproof)
Forestry:fencesFireproof:28, Zebrawood Fence (Fireproof)
Forestry:stairsFireproof:0, Larch Stairs (Fireproof)
Forestry:stairsFireproof:1, Teak Stairs (Fireproof)
Forestry:stairsFireproof:2, Desert Acacia Stairs (Fireproof)
Forestry:stairsFireproof:3, Lime Stairs (Fireproof)
Forestry:stairsFireproof:4, Chestnut Stairs (Fireproof)
Forestry:stairsFireproof:5, Wenge Stairs (Fireproof)
Forestry:stairsFireproof:6, Baobab Stairs (Fireproof)
Forestry:stairsFireproof:7, Sequoia Stairs (Fireproof)
Forestry:stairsFireproof:8, Kapok Stairs (Fireproof)
Forestry:stairsFireproof:9, Ebony Stairs (Fireproof)
Forestry:stairsFireproof:10, Mahogany Stairs (Fireproof)
Forestry:stairsFireproof:11, Balsa Stairs (Fireproof)
Forestry:stairsFireproof:12, Willow Stairs (Fireproof)
Forestry:stairsFireproof:13, Walnut Stairs (Fireproof)
Forestry:stairsFireproof:14, Greenheart Stairs (Fireproof)
Forestry:stairsFireproof:15, Cherry Stairs (Fireproof)
Forestry:stairsFireproof:16, Mahoe Stairs (Fireproof)
Forestry:stairsFireproof:17, Poplar Stairs (Fireproof)
Forestry:stairsFireproof:18, Palm Stairs (Fireproof)
Forestry:stairsFireproof:19, Papaya Stairs (Fireproof)
Forestry:stairsFireproof:20, Pine Stairs (Fireproof)
Forestry:stairsFireproof:21, Plum Stairs (Fireproof)
Forestry:stairsFireproof:22, Maple Stairs (Fireproof)
Forestry:stairsFireproof:23, Citrus Stairs (Fireproof)
Forestry:stairsFireproof:24, Giant Sequoia Stairs (Fireproof)
Forestry:stairsFireproof:25, Ipe Stairs (Fireproof)
Forestry:stairsFireproof:26, Padauk Stairs (Fireproof)
Forestry:stairsFireproof:27, Cocobolo Stairs (Fireproof)
Forestry:stairsFireproof:28, Zebrawood Stairs (Fireproof)
Forestry:saplingGE:0, Sapling
Forestry:pods:0, Pod
Forestry:arboriculture:0, Arborist's Chest
Forestry:engine:0, Electrical Engine
Forestry:engine:1, Peat-fired Engine
Forestry:engine:2, Biogas Engine
Forestry:engine:3, Bio Generator
Forestry:engine:4, Clockwork Engine
Forestry:factory:0, Bottler
Forestry:factory:1, Carpenter
Forestry:factory:2, Centrifuge
Forestry:factory:3, Fermenter
Forestry:factory:4, Moistener
Forestry:factory:5, Squeezer
Forestry:factory:6, Still
Forestry:factory:7, Rainmaker
Forestry:factory2:0, Thermionic Fabricator
Forestry:factory2:1, Raintank
Forestry:factory2:2, Worktable
Forestry:mushroom:0, Mushroom
Forestry:mushroom:1, Mushroom
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:0, Farm Block
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:2, Farm Gearbox
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:3, Farm Hatch
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:4, Farm Valve
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:ffarm:5, Farm Control
Forestry:lepidopterology:0, Lepidopterist's Chest
Forestry:mail:0, Mailbox
Forestry:mail:1, Trade Station
Forestry:mail:2, Stamp Collector
BinnieCore:storage:0, Compartment
BinnieCore:storage:1, Copper Compartment
BinnieCore:storage:2, Bronze Compartment
BinnieCore:storage:3, Iron Compartment
BinnieCore:storage:4, Gold Compartment
BinnieCore:storage:5, Diamond Compartment
Botany:flower, Flower
Botany:plant:0, Weeds
Botany:plant:1, Long Weeds
Botany:plant:2, Very Long Weeds
Botany:plant:3, Dead Flower
Botany:plant:4, Decaying Flower
Botany:soil:0, Soil
Botany:soil:1, Soil
Botany:soil:2, Soil
Botany:soil:3, Soil
Botany:soil:4, Soil
Botany:soil:5, Soil
Botany:soil:6, Soil
Botany:soil:7, Soil
Botany:soil:8, Soil
Botany:loam:0, Loam
Botany:loam:1, Loam
Botany:loam:2, Loam
Botany:loam:3, Loam
Botany:loam:4, Loam
Botany:loam:5, Loam
Botany:loam:6, Loam
Botany:loam:7, Loam
Botany:loam:8, Loam
Botany:flowerbed:0, Flowerbed
Botany:flowerbed:1, Flowerbed
Botany:flowerbed:2, Flowerbed
Botany:flowerbed:3, Flowerbed
Botany:flowerbed:4, Flowerbed
Botany:flowerbed:5, Flowerbed
Botany:flowerbed:6, Flowerbed
Botany:flowerbed:7, Flowerbed
Botany:flowerbed:8, Flowerbed
Botany:soilNoWeed:0, Soil
Botany:soilNoWeed:1, Soil
Botany:soilNoWeed:2, Soil
Botany:soilNoWeed:3, Soil
Botany:soilNoWeed:4, Soil
Botany:soilNoWeed:5, Soil
Botany:soilNoWeed:6, Soil
Botany:soilNoWeed:7, Soil
Botany:soilNoWeed:8, Soil
Botany:loamNoWeed:0, Loam
Botany:loamNoWeed:1, Loam
Botany:loamNoWeed:2, Loam
Botany:loamNoWeed:3, Loam
Botany:loamNoWeed:4, Loam
Botany:loamNoWeed:5, Loam
Botany:loamNoWeed:6, Loam
Botany:loamNoWeed:7, Loam
Botany:loamNoWeed:8, Loam
Botany:flowerbedNoWeed:0, Flowerbed
Botany:flowerbedNoWeed:1, Flowerbed
Botany:flowerbedNoWeed:2, Flowerbed
Botany:flowerbedNoWeed:3, Flowerbed
Botany:flowerbedNoWeed:4, Flowerbed
Botany:flowerbedNoWeed:5, Flowerbed
Botany:flowerbedNoWeed:6, Flowerbed
Botany:flowerbedNoWeed:7, Flowerbed
Botany:flowerbedNoWeed:8, Flowerbed
Botany:ceramic, tile.ceramic.name
Botany:stained, tile.stained.name
Botany:ceramicPattern, tile.ceramicPattern.name
Botany:ceramicBrick, tile.ceramicBrick.name
ExtraTrees:planks, Lightwood planks
ExtraTrees:fence, Fence
ExtraTrees:multifence, tile.multifence.name
ExtraTrees:log, Wood
ExtraTrees:gate, tile.null.name
ExtraTrees:slab:0, Fir Wood Slab
ExtraTrees:slab:1, Cedar Wood Slab
ExtraTrees:slab:2, Hemlock Wood Slab
ExtraTrees:slab:3, Cypress Wood Slab
ExtraTrees:slab:4, Fig Wood Slab
ExtraTrees:slab:5, Beech Wood Slab
ExtraTrees:slab:6, Alder Wood Slab
ExtraTrees:slab:7, Hazel Wood Slab
ExtraTrees:slab:8, Hornbeam Wood Slab
ExtraTrees:slab:9, Box Wood Slab
ExtraTrees:slab:10, Butternut Wood Slab
ExtraTrees:slab:11, Hickory Wood Slab
ExtraTrees:slab:12, Whitebeam Wood Slab
ExtraTrees:slab:13, Elm Wood Slab
ExtraTrees:slab:14, Apple Wood Slab
ExtraTrees:slab:15, Yew Wood Slab
ExtraTrees:slab:16, Pear Wood Slab
ExtraTrees:slab:17, Hawthorn Wood Slab
ExtraTrees:slab:18, Rowan Wood Slab
ExtraTrees:slab:19, Elder Wood Slab
ExtraTrees:slab:20, Maclura Wood Slab
ExtraTrees:slab:21, Syzgium Wood Slab
ExtraTrees:slab:22, Brazilwood Wood Slab
ExtraTrees:slab:23, Logwood Wood Slab
ExtraTrees:slab:24, Iroko Wood Slab
ExtraTrees:slab:25, Locust Wood Slab
ExtraTrees:slab:26, Eucalyptus Wood Slab
ExtraTrees:slab:27, Purpleheart Wood Slab
ExtraTrees:slab:28, Ash Wood Slab
ExtraTrees:slab:29, Holly Wood Slab
ExtraTrees:slab:30, Olive Wood Slab
ExtraTrees:slab:31, Sweetgum Wood Slab
ExtraTrees:slab:32, Rosewood Wood Slab
ExtraTrees:slab:33, Gingko Wood Slab
ExtraTrees:slab:34, Pink Ivory Wood Slab
ExtraTrees:door, tile.door.name
ExtraTrees:stairs, tile.stairs.name
ExtraTrees:carpentry, tile.carpentry.name
ExtraTrees:panel, tile.carpentry.name
ExtraTrees:stainedglass, Stained Glass
ExtraTrees:machine:0, Lumbermill
ExtraTrees:machine:1, Woodworker
ExtraTrees:machine:2, Panelworker
ExtraTrees:machine:3, Glassworker
ExtraTrees:machine:4, Tileworker
Genetics:machine:0, Isolator
Genetics:machine:1, Sequencer
Genetics:machine:2, Polymeriser
Genetics:machine:3, Inoculator
Genetics:labMachine:0, Lab Stand
Genetics:labMachine:1, Analyzer
Genetics:labMachine:2, Incubator
Genetics:labMachine:3, Genepool
Genetics:labMachine:4, Acclimatiser
Genetics:advMachine:0, Splicer
ExtraBees:ectoplasm, Ectoplasm
ExtraBees:hive:0, Water Hive
ExtraBees:hive:1, Rock Hive
ExtraBees:hive:2, Nether Hive
ExtraBees:hive:3, Marble Hive
ExtraBees:alveary:0, Mutator
ExtraBees:alveary:1, Frame Housing
ExtraBees:alveary:2, Rain Shield
ExtraBees:alveary:3, Alveary Lighting
ExtraBees:alveary:4, Electrical Stimulator
ExtraBees:alveary:5, Hatchery
ExtraBees:alveary:6, Alveary Transmission
AWWayofTime:Altar, Blood Altar
AWWayofTime:AlchemicalWizardrybloodRune:0, Blood Rune
AWWayofTime:AlchemicalWizardrybloodRune:1, Rune of Augmented Capacity
AWWayofTime:AlchemicalWizardrybloodRune:2, Rune of Dislocation
AWWayofTime:AlchemicalWizardrybloodRune:3, Rune of the Orb
AWWayofTime:AlchemicalWizardrybloodRune:4, Rune of Superior Capacity
AWWayofTime:AlchemicalWizardrybloodRune:5, Rune of Acceleration
AWWayofTime:lifeEssence, Life Essence
AWWayofTime:speedRune, Speed Rune
AWWayofTime:efficiencyRune, Efficiency Rune
AWWayofTime:runeOfSacrifice, Rune of Sacrifice
AWWayofTime:runeOfSelfSacrifice, Rune of Self-Sacrifice
AWWayofTime:ritualStone, Ritual Stone
AWWayofTime:masterStone, Master Ritual Stone
AWWayofTime:bloodSocket, Filled Socket
AWWayofTime:imperfectRitualStone, Imperfect Ritual Stone
AWWayofTime:armourForge, Soul Armour Forge
AWWayofTime:emptySocket, Empty Socket
AWWayofTime:bloodStoneBrick, Bloodstone Brick
AWWayofTime:largeBloodStoneBrick, Large Bloodstone Brick
AWWayofTime:blockWritingTable, Alchemic Chemistry Set
AWWayofTime:blockHomHeart, Spell Table
AWWayofTime:blockPedestal, Arcane Pedestal
AWWayofTime:blockPlinth, Arcane Plinth
AWWayofTime:blockTeleposer, Teleposer
AWWayofTime:spectralBlock, Spectral Block
AWWayofTime:bloodLight, Blood Light
AWWayofTime:blockConduit, Spell Conduit
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:0, Particle Generator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:1, Self Augmentator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:2, Melee Aggregator
AWWayofTime:AlchemicalWizardrytile.blockSpellParadigm:3, Tool Forger
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:0, Unstable Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:1, Standard Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:2, Reinforced Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:3, Imbued Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:4, Demonic Spell Empowerer
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:5, Unstable Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:6, Standard Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:7, Reinforced Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:8, Imbued Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:9, Demonic Spell Dampener
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:10, Unstable Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:11, Standard Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:12, Reinforced Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:13, Imbued Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellEnhancement:14, Demonic Spell Augmentor
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:0, Default Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:1, Offensive Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:2, Defensive Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellModifier:3, Environmental Spell Modifier
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:0, Crucible of Fire
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:1, Ice Maker
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:2, Wind Generator
AWWayofTime:AlchemicalWizardrytile.blockSpellEffect:3, Earth Former
AWWayofTime:spectralContainer, Spectral Container
AWWayofTime:demonPortalMain, Demon Portal
AWWayofTime:blockSchemSaver, Schematic Saver
AWWayofTime:blockReagentConduit, Alchemy Relay
AWWayofTime:blockAlchemicCalcinator, Alchemic Calcinator
AWWayofTime:blockCrystalBelljar:0, Crystal Belljar
AWWayofTime:blockDemonChest, Demon's Chest
AWWayofTime:blockCrystal:0, Crystal Cluster
AWWayofTime:blockCrystal:1, Crystal Cluster Brick
AWWayofTime:blockMimic, Mimic Block
AWWayofTime:blockEnchantmentGlyph:0, Glyph of the Adept Enchanter
AWWayofTime:blockEnchantmentGlyph:1, Glyph of Arcane Potential
AWWayofTime:blockStabilityGlyph:0, Glyph of Rigid Stability
AWWayofTime:blockCrucible, Incense Crucible
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:fireAir, Aer Imbued Fire
ForbiddenMagic:ArcaneCake, Thaumic Cake
ForbiddenMagic:WrathCage, Wrath Cage
ForbiddenMagic:InkFlower, Umbral Rose
ForbiddenMagic:StarBlock, Nether Star Block
ForbiddenMagic:UmbralBush, Umbral Rose Bush
ForbiddenMagic:TaintLog, Tainted Log
ForbiddenMagic:TaintPlank, Tainted Planks
ForbiddenMagic:TaintLeaves, Tainted Leaves
ForbiddenMagic:TaintSapling, Tainted Sapling
ForbiddenMagic:TaintBlock:0, Tainted Stone
ForbiddenMagic:TaintBlock:1, Tainted Stone Bricks
BloodArsenal:blood_stone:0, Blank Blood Stone
BloodArsenal:blood_stone:1, Reinforced Blood Stone
